上海频道,#genre#
新闻综合HD,http://qm920.myds.me:4022/udp/239.45.3.209:5140
五星体育HD,http://qm920.myds.me:4022/udp/239.45.3.210:5140
都市频道HD,http://qm920.myds.me:4022/udp/239.45.3.236:5140
哈哈炫动HD,http://qm920.myds.me:4022/udp/239.45.1.55:5140
东方影视HD,http://qm920.myds.me:4022/udp/239.45.3.237:5140
纪实人文HD,http://qm920.myds.me:4022/udp/239.45.3.212:5140
生活时尚HD,http://qm920.myds.me:4022/udp/239.45.3.132:5140
都市剧场HD,http://qm920.myds.me:4022/udp/239.45.3.136:5140
法治天地HD,http://qm920.myds.me:4022/udp/239.45.1.46:5140
第一财经HD,http://qm920.myds.me:4022/udp/239.45.3.211:5140
东方财经HD,http://qm920.myds.me:4022/udp/239.45.0.17:5140
外语频道HD,http://qm920.myds.me:4022/udp/239.45.1.127:5140
七彩戏剧HD,http://qm920.myds.me:4022/udp/239.45.0.16:5140
上海教育HD,http://qm920.myds.me:4022/udp/239.45.0.13:5140
欢笑剧场HD,http://qm920.myds.me:4022/udp/239.45.3.196:5140
游戏风云HD,http://qm920.myds.me:4022/udp/239.45.3.131:5140
动漫秀场HD,http://qm920.myds.me:4022/udp/239.45.3.134:5140
哈哈炫动,http://qm920.myds.me:4022/udp/239.45.3.187:5140

央视频道,#genre#
CCTV-1HD,http://qm920.myds.me:4022/udp/239.45.3.145:5140
CCTV-2HD,http://qm920.myds.me:4022/udp/239.45.0.1:5140
CCTV-3HD,http://qm920.myds.me:4022/udp/239.45.1.68:5140
CCTV-4HD,http://qm920.myds.me:4022/udp/239.45.0.2:5140
CCTV-5HD,http://qm920.myds.me:4022/udp/239.45.1.69:5140
CCTV-5+HD,http://qm920.myds.me:4022/udp/239.45.0.34:5140
CCTV-6HD,http://qm920.myds.me:4022/udp/239.45.1.70:5140
CCTV-7HD,http://qm920.myds.me:4022/udp/239.45.3.56:5140
CCTV-8HD,http://qm920.myds.me:4022/udp/239.45.1.71:5140
CCTV-9HD,http://qm920.myds.me:4022/udp/239.45.3.4:5140
CCTV-10HD,http://qm920.myds.me:4022/udp/239.45.3.8:5140
CCTV-11HD,http://qm920.myds.me:4022/udp/239.45.0.18:5140
CCTV-12HD,http://qm920.myds.me:4022/udp/239.45.3.10:5140
CCTV-13HD,http://qm920.myds.me:4022/udp/239.45.0.19:5140
CCTV-14HD,http://qm920.myds.me:4022/udp/239.45.3.23:5140
CCTV-15HD,http://qm920.myds.me:4022/udp/239.45.0.20:5140
CCTV-16HD,http://qm920.myds.me:4022/udp/239.45.0.10:5140
CCTV-16 4K,http://qm920.myds.me:4022/udp/239.45.0.12:5140
CCTV-17HD,http://qm920.myds.me:4022/udp/239.45.3.52:5140
CCTV4K,http://qm920.myds.me:4022/udp/239.45.0.55:5140
CCTV风云足球,http://qm920.myds.me:4022/udp/239.45.0.43:5140
CCTV央视台球,http://qm920.myds.me:4022/udp/239.45.0.44:5140
CCTV兵器科技,http://qm920.myds.me:4022/udp/239.45.0.45:5140
CCTV世界地理,http://qm920.myds.me:4022/udp/239.45.0.46:5140
CCTV女性时尚,http://qm920.myds.me:4022/udp/239.45.0.47:5140
CCTV高尔夫网球,http://qm920.myds.me:4022/udp/239.45.0.48:5140
CCTV怀旧剧场,http://qm920.myds.me:4022/udp/239.45.0.49:5140
CCTV风云剧场,http://qm920.myds.me:4022/udp/239.45.0.50:5140
CCTV第一剧场,http://qm920.myds.me:4022/udp/239.45.0.51:5140
